movie_name,movie_date,movie_rating,movie_genre,movie_censor,budget,revenue
Ghostbusters,1984-01-01,7.8,Action,UA,30000000.0,
Ghostbusters,1984-01-01,7.8,Action,UA,30000000.0,
"Aguirre, der Zorn Gottes",1972-01-01,7.8,Action,Not Rated,,
Raazi,2018-01-01,7.7,Action,UA,,
Deadpool 2,2018-01-01,7.7,Action,R,,
Mission: Impossible - Fallout,2018-01-01,7.7,Action,U/A,,
Udta Punjab,2016-01-01,7.7,Action,A,,
Kubo and the Two Strings,2016-01-01,7.7,Animation,U,60000000.0,
Kingsman: The Secret Service,2014-01-01,7.7,Action,A,,
Ajeossi,2010-01-01,7.7,Action,7,,
The Lego Movie,2014-01-01,7.7,Animation,U,,
Star Trek Into Darkness,2013-01-01,7.7,Action,UA,,
X: First Class,2011-01-01,7.7,Action,UA,,
3:10 to Yuma,2007-01-01,7.7,Action,A,,
Kung fu,2004-01-01,7.7,Action,UA,,
The Bourne Supremacy,2004-01-01,7.7,Action,A,,
Man on Fire,2004-01-01,7.7,Action,UA,,
Man on Fire,2004-01-01,7.7,Action,UA,,
Black Hawk Down,2001-01-01,7.7,Action,A,92000000.0,
The Count of Monte Cristo,2002-01-01,7.7,Action,UA,,
Minority Report,2002-01-01,7.7,Action,A,,
The Boondock Saints,1999-01-01,7.7,Action,A,,
Training Day,2001-01-01,7.7,Action,A,,
Lola rennt,1998-01-01,7.7,Action,UA,,
The Last of the Mohicans,1992-01-01,7.7,Action,UA,,
The Last of the Mohicans,1992-01-01,7.7,Action,UA,,
Lat sau san taam,1992-01-01,7.7,Action,A,,
Star Trek II: The Wrath of Khan,1982-01-01,7.7,Action,U,,
First Blood,1982-01-01,7.7,Action,A,15000000.0,
Badlands,1973-01-01,7.7,Action,Not Rated,,
The French Connection,1971-01-01,7.7,Action,A,1800000.0,
Dirty Harry,1971-01-01,7.7,Action,A,,
The Dirty Dozen,1967-01-01,7.7,Action,U,5400000.0,
Bonnie and Clyde,1967-01-01,7.7,Action,A,2500000.0,
Goldfinger,1964-01-01,7.7,Action,A,,
The Longest Day,1962-01-01,7.7,Action,U,,
The Magnificent Seven,1960-01-01,7.7,Action,Not Rated,,
The Magnificent Seven,1960-01-01,7.7,Action,Not Rated,,
The Magnificent Seven,1960-01-01,7.7,Action,Not Rated,,
Key Largo,1948-01-01,7.7,Action,Not Rated,,
Scarface,1932-01-01,7.7,Action,Not Rated,25000000.0,
Scarface,1932-01-01,7.7,Action,Not Rated,25000000.0,
Pushpa: The Rise - Part 1,2021-01-01,7.6,Action,UA,,
Ölümlü Dünya,2018-01-01,7.6,Action,Not Rated,,
Ludo,2020-01-01,7.6,Action,16,,
Busanhaeng,2016-01-01,7.6,Action,A,,
Hotel Mumbai,2018-01-01,7.6,Action,A,,
Guardians of the Galaxy Vol. 2,2017-01-01,7.6,Action,UA,,
Baby Driver,2017-01-01,7.6,Action,UA,,
Only the Brave,2017-01-01,7.6,Action,UA,,
Incredibles 2,2018-01-01,7.6,Animation,UA,200000000.0,
Sicario,2015-01-01,7.6,Action,A,,
Creed,2015-01-01,7.6,Action,UA,,
Dawn of the Planet of the Apes,2014-01-01,7.6,Action,UA,,
