movie_name,budget,revenue
Stakeout,,
The Living Daylights,,
Hamburger Hill,,
Commando,,
The Last Starfighter,,
TRON,250000000,
For Your Eyes Only,,
The Enforcer,,
The Man with the Golden Gun,,
Live and Let Die,7000000,
21 Bridges,,
Enola Holmes,,
Marighella,,
The Old Guard,,
Anna,,
The Art of Self-Defense,,
Adrift,,
The Aeronauts,,
The Fate of the Furious,250000000,
The Girl with All the Gifts,,
Overlord,,
Alpha,,
Jason Bourne,,
Kong: Skull Island,185000000,
Bølgen,,
The Lego Movie 2: The Second Part,,
Raees,,
Red Sparrow,58000000,
The Heat,,
Run All Night,,
The Hunger Games: Mockingjay - Part 1,,
The Amazing Spider-Man 2,,
Hunter Killer,,
Divergent,,
The Informer,,
RED 2,58000000,
The Expendables 2,100000000,
Ender's Game,,
Man on a Ledge,,
Elysium,,
Attack the Block,,
The Other Guys,100000000,
Pirates of the Caribbean: On Stranger Tides,410000000,
Venom,,
Edge of Darkness,,
The Bourne Legacy,125000000,
L'immortel,,
The Harder They Fall,,
Eagle Eye,,
Machete,,
Robin Hood,2033000,
Jungle Cruise,,
Epic,,
Quantum of Solace,,
The Incredible Hulk,58000000,
Seraphim Falls,,
Smokin' Aces,,
Prince of Persia: The Sands of Time,,
Shoot 'Em Up,,
16 Blocks,,
Vantage Point,,
Flushed Away,149000000,
John Carter,250000000,
30 Days of Night,,
X-Men: The Last Stand,,
The Rundown,85000000,
Tears of the Sun,,
The Chronicles of Riddick,,
The Recruit,,
Wasabi,,
Kiss of the Dragon,,
Rush Hour 2,,
Joy Ride,,
The Way of the Gun,8500000,
Shanghai Noon,,
Bad Boys II,,
Austin Powers: The Spy Who Shagged Me,,
U-571,,
Lethal Weapon 4,,
Star Wars: Episode II - Attack of the Clones,,
Titan A.E.,,
Resident Evil,33000000,
The 13th Warrior,,
Courage Under Fire,,
Outbreak,50000000,
Star Trek: Generations,,
Hot Shots! Part Deux,,
New Jack City,,
Road House,,
Licence to Kill,40000000,
Ghostbusters II,30000000,
Black Rain,,
The Running Man,,
Crocodile Dundee,8800000,
Star Trek III: The Search for Spock,,
Sudden Impact,,
Outland,,
Rollerball,,
The Tomorrow War,,
The Hunt,,
War,,
Mandy,,
Fast & Furious Presents: Hobbs & Shaw,,
Pokémon: Detective Pikachu,,
Sonic the Hedgehog,,
Nerve,,
Tag,,
The Interview,,
Star Wars: Episode IX - The Rise of Skywalker,,
Homefront,,
Olympus Has Fallen,,
Self/less,26000000,
The Hunger Games: Mockingjay - Part 2,,
Pirates of the Caribbean: Dead Men Tell No Tales,,
Fetih 1453,,
Safe,85000000,
Kick-Ass 2,30000000,
The Gray Man,,
Premium Rush,,
Bad Boys for Life,,
Yi dai zong shi,,
12 Strong,,
Seungriho,,
Banlieue 13: Ultimatum,,
Sonic the Hedgehog 2,,
Never Back Down,,
Fast & Furious,,
The International,50000000,
The Forbidden Kingdom,,
Underworld: Rise of the Lycans,,
The Chronicles of Narnia: Prince Caspian,,
The Mechanic,,
National Treasure: Book of Secrets,100000000,
X-Men Origins: Wolverine,,
Sin City: A Dame to Kill For,,
Flyboys,60000000,
Dhoom:2,,
Terminator Salvation,,
Get Smart,,
The Spiderwick Chronicles,,
War of the Worlds,,
A Walk Among the Tombstones,,
Spartan,,
Mr. & Mrs. Smith,,
Ladder 49,,
Hostage,,
Cellular,,
Heist,,
Swordfish,,
The Four Feathers,,
Gone in Sixty Seconds,,
Space Cowboys,,
Taxi 2,,
Star Wars: Episode I - The Phantom Menace,,
U.S. Marshals,,
The Man in the Iron Mask,,
