person_name,birth_date,death_date,start_activity,end_activity
Javier Bardem,1969-03-01T00:00:00Z,,1990-01-01T00:00:00Z,
Heath Ledger,1979-04-04T00:00:00Z,2008-01-22T00:00:00Z,1992-01-01T00:00:00Z,2008-01-01T00:00:00Z
Christoph Waltz,1956-10-04T00:00:00Z,,1977-01-01T00:00:00Z,
Christian Bale,1974-01-30T00:00:00Z,,1983-01-01T00:00:00Z,
Christopher Plummer,1929-12-13T00:00:00Z,2021-02-05T00:00:00Z,1946-01-01T00:00:00Z,2021-01-01T00:00:00Z
Jared Leto,1971-12-26T00:00:00Z,,1998-01-01T00:00:00Z,
Janet Gaynor,1906-10-06T00:00:00Z,1984-09-14T00:00:00Z,1924-01-01T00:00:00Z,
Mary Pickford,1892-04-08T00:00:00Z,1979-05-29T00:00:00Z,1909-01-01T00:00:00Z,1949-01-01T00:00:00Z
Norma Shearer,1902-08-10T00:00:00Z,1983-06-12T00:00:00Z,1920-01-01T00:00:00Z,1942-01-01T00:00:00Z
Marie Dressler,1868-11-09T00:00:00Z,1934-07-28T00:00:00Z,1886-01-01T00:00:00Z,
Helen Hayes,1900-10-10T00:00:00Z,1993-03-17T00:00:00Z,1905-01-01T00:00:00Z,
Katharine Hepburn,1907-05-12T00:00:00Z,2003-06-29T00:00:00Z,1928-01-01T00:00:00Z,1994-01-01T00:00:00Z
Claudette Colbert,1903-09-13T00:00:00Z,1996-07-30T00:00:00Z,1925-01-01T00:00:00Z,1987-01-01T00:00:00Z
Bette Davis,1908-04-05T00:00:00Z,1989-10-06T00:00:00Z,1929-01-01T00:00:00Z,1989-01-01T00:00:00Z
Luise Rainer,1910-01-12T00:00:00Z,2014-12-30T00:00:00Z,1928-01-01T00:00:00Z,1997-01-01T00:00:00Z
Vivien Leigh,1913-11-05T00:00:00Z,1967-07-08T00:00:00Z,1935-01-01T00:00:00Z,
Ginger Rogers,1911-07-16T00:00:00Z,1995-04-25T00:00:00Z,1929-01-01T00:00:00Z,1987-01-01T00:00:00Z
Joan Fontaine,1917-10-22T00:00:00Z,2013-12-15T00:00:00Z,1935-01-01T00:00:00Z,1994-01-01T00:00:00Z
Greer Garson,1904-09-29T00:00:00Z,1996-04-06T00:00:00Z,1937-01-01T00:00:00Z,
Jennifer Jones,1919-03-02T00:00:00Z,2009-12-17T00:00:00Z,1939-01-01T00:00:00Z,1974-01-01T00:00:00Z
Ingrid Bergman,1915-08-29T00:00:00Z,1982-08-29T00:00:00Z,1934-01-01T00:00:00Z,1982-01-01T00:00:00Z
Joan Crawford,1904-03-23T00:00:00Z,1977-05-10T00:00:00Z,1925-01-01T00:00:00Z,1974-01-01T00:00:00Z
Olivia de Havilland,1916-07-01T00:00:00Z,2020-07-26T00:00:00Z,1935-01-01T00:00:00Z,1988-01-01T00:00:00Z
Loretta Young,1913-01-06T00:00:00Z,2000-08-12T00:00:00Z,1917-01-01T00:00:00Z,2000-01-01T00:00:00Z
Jane Wyman,1917-01-05T00:00:00Z,2007-09-10T00:00:00Z,1932-01-01T00:00:00Z,1993-01-01T00:00:00Z
Judy Holliday,1921-06-21T00:00:00Z,1965-06-07T00:00:00Z,1938-01-01T00:00:00Z,
Shirley Booth,1898-08-30T00:00:00Z,1992-10-16T00:00:00Z,1925-01-01T00:00:00Z,
Audrey Hepburn,1929-05-04T00:00:00Z,1993-01-20T00:00:00Z,1948-01-01T00:00:00Z,1989-01-01T00:00:00Z
Grace Kelly,1929-11-12T00:00:00Z,1982-09-14T00:00:00Z,1949-01-01T00:00:00Z,1956-01-01T00:00:00Z
Anna Magnani,1908-03-07T00:00:00Z,1973-09-26T00:00:00Z,1928-01-01T00:00:00Z,1972-01-01T00:00:00Z
Joanne Woodward,1930-02-27T00:00:00Z,,1952-01-01T00:00:00Z,
Susan Hayward,1917-06-30T00:00:00Z,1975-03-14T00:00:00Z,1937-01-01T00:00:00Z,1972-01-01T00:00:00Z
Simone Signoret,1921-03-25T00:00:00Z,1985-09-30T00:00:00Z,1942-01-01T00:00:00Z,
Elizabeth Taylor,1932-02-27T00:00:00Z,2011-03-23T00:00:00Z,1942-01-01T00:00:00Z,2003-01-01T00:00:00Z
Sophia Loren,1934-09-20T00:00:00Z,,1950-01-01T00:00:00Z,
Anne Bancroft,1931-09-17T00:00:00Z,2005-06-06T00:00:00Z,1951-01-01T00:00:00Z,
Patricia Neal,1926-01-20T00:00:00Z,2010-08-08T00:00:00Z,1945-01-01T00:00:00Z,2010-01-01T00:00:00Z
Julie Andrews,1935-10-01T00:00:00Z,,1956-01-01T00:00:00Z,
Julie Christie,1941-04-14T00:00:00Z,,1957-01-01T00:00:00Z,
Barbra Streisand,1942-04-24T00:00:00Z,,1960-01-01T00:00:00Z,
Maggie Smith,1934-12-28T00:00:00Z,,1952-01-01T00:00:00Z,
Glenda Jackson,1936-05-09T00:00:00Z,,1963-01-01T00:00:00Z,
Jane Fonda,1937-12-21T00:00:00Z,,1959-01-01T00:00:00Z,
Liza Minnelli,1946-03-12T00:00:00Z,,1949-01-01T00:00:00Z,
Ellen Burstyn,1932-12-07T00:00:00Z,,1955-01-01T00:00:00Z,
Louise Fletcher,1934-07-22T00:00:00Z,2022-09-24T00:00:00Z,1958-01-01T00:00:00Z,2017-01-01T00:00:00Z
Faye Dunaway,1941-01-14T00:00:00Z,,1962-01-01T00:00:00Z,
Diane Keaton,1946-01-05T00:00:00Z,,1969-01-01T00:00:00Z,
Sally Field,1946-11-06T00:00:00Z,,1962-01-01T00:00:00Z,
Sissy Spacek,1949-12-25T00:00:00Z,,1972-01-01T00:00:00Z,
Meryl Streep,1949-06-22T00:00:00Z,,1975-01-01T00:00:00Z,
Shirley MacLaine,1934-04-24T00:00:00Z,,1955-01-01T00:00:00Z,
Geraldine Page,1924-11-22T00:00:00Z,1987-06-13T00:00:00Z,1952-01-01T00:00:00Z,1987-01-01T00:00:00Z
Marlee Matlin,1965-08-24T00:00:00Z,,1986-01-01T00:00:00Z,
Cher,1934-07-22T00:00:00Z,2022-09-24T00:00:00Z,1958-01-01T00:00:00Z,2017-01-01T00:00:00Z
Jodie Foster,1962-11-19T00:00:00Z,,1968-01-01T00:00:00Z,
Jessica Tandy,1909-06-07T00:00:00Z,1994-09-11T00:00:00Z,1926-01-01T00:00:00Z,
Kathy Bates,1948-06-28T00:00:00Z,,1971-01-01T00:00:00Z,
Emma Thompson,1959-04-15T00:00:00Z,,1979-01-01T00:00:00Z,
Holly Hunter,1958-03-20T00:00:00Z,,1981-01-01T00:00:00Z,
Jessica Lange,1949-04-20T00:00:00Z,,1976-01-01T00:00:00Z,
Susan Sarandon,1946-10-04T00:00:00Z,,1970-01-01T00:00:00Z,
Frances McDormand,1957-06-23T00:00:00Z,,1982-01-01T00:00:00Z,
Helen Hunt,1963-06-15T00:00:00Z,,1978-01-01T00:00:00Z,
Gwyneth Paltrow,1972-09-27T00:00:00Z,,1989-01-01T00:00:00Z,
Hilary Swank,1974-07-30T00:00:00Z,,1991-01-01T00:00:00Z,
Julia Roberts,1967-10-28T00:00:00Z,,1987-01-01T00:00:00Z,
Halle Berry,1966-08-14T00:00:00Z,,1989-01-01T00:00:00Z,
Nicole Kidman,1967-06-20T00:00:00Z,,1983-01-01T00:00:00Z,
Charlize Theron,1975-08-07T00:00:00Z,,1995-01-01T00:00:00Z,
Reese Witherspoon,1976-03-22T00:00:00Z,,1991-01-01T00:00:00Z,
Helen Mirren,1945-07-26T00:00:00Z,,1966-01-01T00:00:00Z,
Marion Cotillard,1975-09-30T00:00:00Z,,1993-01-01T00:00:00Z,
Kate Winslet,1975-10-05T00:00:00Z,,1991-01-01T00:00:00Z,
Sandra Bullock,1964-07-26T00:00:00Z,,1987-01-01T00:00:00Z,
